id,fund_name,Performance fee?,Investment Strategy,Leverage?,Portfolio composition, Concentration,Prediction,supporting evidence,source meta data,Predicted Investment Strategy
0000932471-18-008471,Vanguard Russell 2000 Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 2000 Index Fund <head_breaker>

Vanguard Russell 2000 Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of small-capitalization stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.06% 12b-1 Distribution Fee	None Other Expenses	0.02% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 2000 Index Fund.txt'},1.0
0000932471-18-008471,Vanguard Russell 2000 Value Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 2000 Value Index Fund <head_breaker>

Vanguard Russell 2000 Value Index Fund

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of small-capitalization value stocks in the United States.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.03% 12b-1 Distribution Fee	None Other Expenses	0.05% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 2000 Value Index Fund.txt'},1.0
0000932471-18-008471,Vanguard Russell 3000 Index Fund,,2,No,Investment grade securities,Diversified,"1,0.95","Vanguard Russell 3000 Index Fund <head_breaker>

Fund Summary

Investment Objective

The Fund seeks to track the performance of a benchmark index that measures the investment return of the broad U.S. stock market.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold Institutional Shares of the Fund.

Shareholder Fees (Fees paid directly from your investment)

Sales Charge (Load) Imposed on Purchases	None Purchase Fee	None Sales Charge (Load) Imposed on Reinvested Dividends	None Redemption Fee	None

Annual Fund Operating Expenses (Expenses that you pay each year as a percentage of the value of your investment)

Management Fees	0.07% 12b-1 Distribution Fee	None Other Expenses	0.01% Total Annual Fund Operating Expenses	0.08%

Example",{'source': 'NLP_app\\MutualFundSummary\\Vanguard Russell 3000 Index Fund.txt'},1.0
0001144204-18-020502,MainStay VP Income Builder Portfolio,,3,Yes,Investment grade securities,Diversified,"2,0.9","75

MainStay VP Income Builder Portfolio",{'source': 'NLP_app\\MutualFundSummary\\MainStay VP Income Builder Portfolio.txt'},2.0
0001193125-18-020442,Janus Henderson Growth and Income Fund,,1,Yes,Listed Equities,Diversified,"3,0.9","Janus Henderson Growth and Income Fund <head_breaker>

Janus Henderson Growth and Income Fund Ticker:	JDNAX	Class A Shares	JADGX	Class S Shares	JDNNX	Class N Shares	JAGIX	Class T Shares JGICX	Class C Shares	JGINX	Class I Shares	JDNRX	Class R Shares",{'source': 'NLP_app\\MutualFundSummary\\Janus Henderson Growth and Income Fund.txt'},3.0
0001193125-18-139521,Janus Henderson Global Research Portfolio,,2,Yes,Sub-investment grade securities or emerging markets,Diversified,"1,0.9","Janus Henderson Global Research Portfolio <head_breaker>

Janus Henderson Global Research Portfolio Ticker:	JAWGX	Institutional Shares",{'source': 'NLP_app\\MutualFundSummary\\Janus Henderson Global Research Portfolio.txt'},1.0
0001193125-18-139521,Janus Henderson Global Unconstrained Bond Portfolio,,1,No,Listed Equities,Diversified,"2,0.95","Janus Henderson Global Unconstrained Bond Portfolio <head_breaker>

Janus Henderson Global Unconstrained Bond Portfolio Ticker:	JUCBX	Institutional Shares",{'source': 'NLP_app\\MutualFundSummary\\Janus Henderson Global Unconstrained Bond Portfolio.txt'},2.0
0001193125-18-139521,Janus Henderson Overseas Portfolio,,3,Yes,Sub-investment grade securities or emerging markets,Diversified,"1,0.9","Janus Henderson Overseas Portfolio

<head_breaker>

Janus Henderson Overseas Portfolio

Ticker:	N/A	Service Shares",{'source': 'NLP_app\\MutualFundSummary\\Janus Henderson Overseas Portfolio.txt'},1.0
0001193125-18-227777,Ivy Managed International Opportunities Fund,,3,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.9","Ivy Managed International Opportunities Fund <head_breaker>

Ivy Managed International Opportunities Fund

Objective

To seek to provide capital growth and appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in funds within the Ivy Funds and/or InvestEd Portfolios. More information about these and other discounts is available from your financial professional, as well as in the Sales Charge Reductions section on page 255 of the Fund’s prospectus, in the Purchase, Redemption and Pricing of Shares section on page 146 of the Fund’s statement of additional information (SAI) and in Appendix B — Intermediary Sales Charge Discounts and Waivers. The Fund’s Class B shares are not available for purchase by new or existing investors, but are available for dividend reinvestment and exchanges.",{'source': 'NLP_app\\MutualFundSummary\\Ivy Managed International Opportunities Fund.txt'},1.0
0001193125-18-285341,Multi-Manager Value Strategies Fund,,1,Yes,Listed Equities,Diversified,"3,0.9","Multi

Manager Value Strategies Fund

<head_breaker>

SUMMARY OF THE FUND Investment Objective Multi-Manager Value Strategies Fund (the Fund) seeks to provide shareholders with growth of capital and income. Fees and Expenses of the Fund This table describes the fees and expenses that you may pay if you buy and hold shares of the Fund.

Shareholder Fees (fees paid directly from your investment) Class A	Class Inst Maximum sales charge (load) imposed on purchases (as a % of offering price)	None	None Maximum deferred sales charge (load) imposed on redemptions (as a % of the lower of the original purchase price or current net asset value)	None	None",{'source': 'NLP_app\\MutualFundSummary\\Multi-Manager Value Strategies Fund.txt'},3.0
0001379491-18-005080,Fidelity Managed Retirement Income Fund,,3,Yes,Investment grade securities,Diversified,"2,0.9","Fidelity Managed Retirement Income Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Managed Retirement Income Fund℠/Fidelity Managed Retirement Income Fund℠

Investment Objective

The fund seeks high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.47% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.47% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds. The example assumes that you are not participating in the Fidelity® systematic withdrawal plan.",{'source': 'NLP_app\\MutualFundSummary\\Fidelity Managed Retirement Income Fund.txt'},2.0
0001379491-18-005080,Fidelity Simplicity RMD Income Fund,,3,Yes,Investment grade securities,Diversified,"2,0.9","Fidelity Simplicity RMD Income Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Simplicity RMD Income Fund℠/Fidelity Simplicity RMD Income Fund℠

Investment Objective

The fund seeks high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.47% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.47% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds. The example assumes that you are not participating in the Fidelity® systematic withdrawal plan.",{'source': 'NLP_app\\MutualFundSummary\\Fidelity Simplicity RMD Income Fund.txt'},2.0
0001683863-18-000443,Growth & Income Fund,Some performance Fees,1,No,Listed Equities,Diversified,"3,0.9","Growth & Income Fund

<head_breaker>",{'source': 'NLP_app\\MutualFundSummary\\Growth _ Income Fund.txt'},3.0
