id,fund_name,Performance fee?,Investment Strategy,Leverage?,Portfolio composition, Concentration,Prediction,supporting evidence,source meta data,Predicted Investment Strategy
0000051931-18-000465,Blue Chip Income and Growth Fund,,1,No,Listed Equities,Diversified,"1,0.95","Blue Chip Income and Growth Fund <head_breaker>

Blue Chip Income and Growth Fund

Investment objectives The fund’s investment objectives are to produce income exceeding the average yield on U.S. stocks generally and to provide an opportunity for growth of principal consistent with sound common stock investing.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.39% Other expenses	0.02 Total annual fund operating expenses	0.41 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Blue Chip Income and Growth Fund.txt'},1.0
0000051931-18-000465,Bond Fund,,2,Yes,Investment grade securities,Diversified,"2,0.95","Average annual total returns For the periods ended December 31, 2017:	1 year	5 years	10 years	Lifetime Fund (inception date — 1/2/96)	3.88%	2.22%	3.21%	4.74% Bloomberg Barclays U.S. Aggregate Index (reflects no deduction for sales charges, account fees, expenses or U.S. federal income taxes)	3.54	2.10	4.01	5.13 Lipper Core Bond Funds Average (reflects no deduction for sales charges, account fees or U.S. federal income taxes)	3.56	1.95	3.83	4.69 Management

Investment adviser Capital Research and Management CompanySM Portfolio managers The individuals primarily responsible for the portfolio management of the fund are:

Portfolio manager/ Series title (if applicable)	Portfolio manager experience in this fund	Primary title with investment adviser Pramod Atluri	2 years	Vice President – Capital Fixed Income Investors David A. Hoag	11 years	Partner – Capital Fixed Income Investors",{'source': 'NLP_app\\MutualFundSummary\\Bond Fund.txt'},2.0
0000051931-18-000465,Capital Income Builder,,3,No,Investment grade securities,Diversified,"3,0.9","Capital Income Builder

<head_breaker>

Capital Income Builder

Investment objectives The fund has two primary investment objectives. It seeks (1) to provide a level of current income that exceeds the average yield on U.S. stocks generally and (2) to provide a growing stream of income over the years. The fund’s secondary objective is to provide growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Capital Income Builder.txt'},3.0
0000051931-18-000465,Corporate Bond Fund,,2,Yes,Sub-investment grade securities or emerging markets,Diversified,"2,0.95","1     American Funds Insurance Series - Corporate Bond Fund / Prospectus

Principal risks

This section describes the principal risks associated with the fund’s principal investment strategies. You may lose money by investing in the fund. The likelihood of loss may be greater if you invest for a shorter period of time.

Market conditions — The prices of, and the income generated by, the securities held by the fund may decline – sometimes rapidly or unpredictably – due to various factors, including events or conditions affecting the general economy or particular industries; overall market changes; local, regional or global political, social or economic instability; governmental or governmental agency responses to economic conditions; and currency exchange rate, interest rate and commodity price fluctuations.",{'source': 'NLP_app\\MutualFundSummary\\Corporate Bond Fund.txt'},2.0
0000051931-18-000465,Global Balanced Fund,,3,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","Global Balanced Fund

<head_breaker>

Global Balanced Fund

Investment objectives This fund seeks the balanced accomplishment of three objectives: long-term growth of capital, conservation of principal and current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.66% Other expenses	0.05 Total annual fund operating expenses	0.71 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Global Balanced Fund.txt'},3.0
0000051931-18-000465,Global Bond Fund,,2,Yes,Sub-investment grade securities or emerging markets,Diversified,"2,0.95","Global Bond Fund

<head_breaker>

Global Bond Fund

Investment objective The fund’s investment objective is to provide, over the long term, a high level of total return consistent with prudent investment management.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.53% Other expenses	0.03 Total annual fund operating expenses	0.56 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Global Bond Fund.txt'},2.0
0000051931-18-000465,Global Growth Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.95","Global Growth Fund

<head_breaker>

Global Growth Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.52% Other expenses	0.03 Total annual fund operating expenses	0.55 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Global Growth Fund.txt'},1.0
0000051931-18-000465,Global Growth and Income Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","Global Growth and Income Fund <head_breaker>

Global Growth and Income Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.59% Other expenses	0.04 Total annual fund operating expenses	0.63 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Global Growth and Income Fund.txt'},3.0
0000051931-18-000465,Global Small Capitalization Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.95","Average annual total returns For the periods ended December 31, 2017:	1 year	5 years	10 years	Lifetime Fund (inception date — 4/30/98)	26.22%	11.31%	4.26%	9.80% MSCI All Country World Small Cap Index (reflects no deduction for sales charges, account fees, expenses or U.S. federal income taxes)	23.81	12.36	7.23	8.29 Lipper Global Small-/Mid-Cap Funds Average (reflects no deduction for sales charges, account fees or U.S. federal income taxes)	26.26	12.48	5.91	7.74 Management

Investment adviser Capital Research and Management CompanySM Portfolio managers The individuals primarily responsible for the portfolio management of the fund are:",{'source': 'NLP_app\\MutualFundSummary\\Global Small Capitalization Fund.txt'},1.0
0000051931-18-000465,Growth Fund,,1,No,Listed Equities,Diversified,"1,0.95","Growth Fund

<head_breaker>

Growth Fund

Investment objective The fund’s investment objective is to provide growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.33% Other expenses	0.02 Total annual fund operating expenses	0.35 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Growth Fund.txt'},1.0
0000051931-18-000465,Growth-Income Fund,,1,No,Listed Equities,Diversified,"0,0","Growth

Income Fund

<head_breaker>

Growth

Income Fund

Investment objectives The fund’s investment objectives are to achieve long-term growth of capital and income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.26% Other expenses	0.02 Total annual fund operating expenses	0.28 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Growth-Income Fund.txt'},
0000051931-18-000465,High-Income Bond Fund,,2,Yes,Sub-investment grade securities or emerging markets,Diversified,"2,High","High

Income Bond Fund

<head_breaker>

High

Income Bond Fund

Investment objectives The fund’s primary investment objective is to provide a high level of current income. Its secondary investment objective is capital appreciation.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.47% Other expenses	0.02 Total annual fund operating expenses	0.49 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\High-Income Bond Fund.txt'},2.0
0000051931-18-000465,International Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.95","Average annual total returns For the periods ended December 31, 2017:	1 year	5 years	10 years	Lifetime Fund (inception date — 5/1/90)	32.46%	9.38%	3.63%	8.55% MSCI All Country World ex USA Index (reflects no deduction for sales charges, account fees, expenses or U.S. federal income taxes)	27.19	6.80	1.84	6.11 Lipper International Funds Index (reflects no deduction for sales charges, account fees or U.S. federal income taxes)	26.70	8.10	2.50	6.70 Management

Investment adviser Capital Research and Management CompanySM Portfolio managers The individuals primarily responsible for the portfolio management of the fund are:",{'source': 'NLP_app\\MutualFundSummary\\International Fund.txt'},1.0
0000051931-18-000465,International Growth and Income Fund,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","International Growth and Income Fund <head_breaker>

International Growth and Income Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.61% Other expenses	0.04 Total annual fund operating expenses	0.65 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\International Growth and Income Fund.txt'},3.0
0000051931-18-000465,Managed Risk Asset Allocation Fund,,3,Yes,Investment grade securities,Diversified,"3,0.9","Managed Risk Asset Allocation Fund <head_breaker>

Managed Risk Asset Allocation Fund

Investment objective The fund’s investment objective is to provide high total return (including income and capital gains) consistent with preservation of capital over the long term while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk Asset Allocation Fund.txt'},3.0
0000051931-18-000465,Managed Risk Blue Chip Income and Growth Fund,,1,Yes,Investment grade securities,Diversified,"3,0.9","Managed Risk Blue Chip Income and Growth Fund <head_breaker>

Managed Risk Blue Chip Income and Growth Fund

Investment objectives The fund’s investment objectives are to produce income exceeding the average yield on U.S. stocks generally and to provide an opportunity for growth of principal consistent with sound common stock investing, in each case while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk Blue Chip Income and Growth Fund.txt'},3.0
0000051931-18-000465,Managed Risk Growth Fund,,1,Yes,Investment grade securities,Diversified,"0,0","Managed Risk Growth Fund

<head_breaker>

Managed Risk Growth Fund

Investment objective The fund’s investment objective is to provide growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk Growth Fund.txt'},
0000051931-18-000465,Managed Risk Growth-Income Fund,,1,Yes,Investment grade securities,Diversified,"0,0","Managed Risk Growth

Income Fund

<head_breaker>

Managed Risk Growth

Income Fund

Investment objectives The fund’s investment objectives are to achieve long-term growth of capital and income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk Growth-Income Fund.txt'},
0000051931-18-000465,Managed Risk International Fund,,1,Yes,Sub-investment grade securities or emerging markets,Diversified,"0,0","Managed Risk International Fund

<head_breaker>

Managed Risk International Fund

Investment objective The fund’s investment objective is to provide long-term growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Managed Risk International Fund.txt'},
0000051931-18-000465,Mortgage Fund,,2,No,Investment grade securities,Diversified,"2,0.95","Average annual total returns For the periods ended December 31, 2017:	1 year	5 years	Lifetime Fund (inception date — 5/2/11)	1.47%	2.01%	2.61% Bloomberg Barclays U.S. Mortgage Backed Securities Index (reflects no deduction for sales charges, account fees, expenses or U.S. federal income taxes)	2.47	2.04	2.59 Lipper Intermediate U.S. Government Funds Average (reflects no deduction for sales charges, account fees or U.S. federal income taxes)	1.39	0.93	1.87 Lipper GNMA Funds Average (reflects no deduction for sales charges, account fees or U.S. federal income taxes)	1.05	1.03	1.85 Management

Investment adviser Capital Research and Management CompanySM Portfolio managers The individuals primarily responsible for the portfolio management of the fund are:",{'source': 'NLP_app\\MutualFundSummary\\Mortgage Fund.txt'},2.0
0000051931-18-000465,New World Fund,,3,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.95","New World Fund

<head_breaker>

New World Fund

Investment objective The fund’s investment objective is long-term capital appreciation.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.70% Other expenses	0.06 Total annual fund operating expenses	0.76 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\New World Fund.txt'},1.0
0000051931-18-000465,Portfolio Series - American Funds Global Growth Portfolio,,1,No,Sub-investment grade securities or emerging markets,Diversified,"1,0.9","Portfolio Series - American Funds Global Growth Portfolio <head_breaker>

American Funds Global Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Global Growth Portfolio.txt'},1.0
0000051931-18-000465,Portfolio Series - American Funds Growth and Income Portfolio,,1,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.9","Portfolio Series - American Funds Growth and Income Portfolio <head_breaker>

American Funds Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while providing current income.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1, Class 1A or Class 2 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1	Class 1A	Class 2 Management fees	None	None	None Distribution fees	None	None	0.25% Other expenses*	0.03%	0.28%	0.03 Acquired (underlying) fund fees and expenses	0.44	0.44	0.44 Total annual fund operating expenses	0.47	0.72	0.72 * Based on estimated amounts for the current fiscal year.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Growth and Income Portfolio.txt'},3.0
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Global Allocation Portfolio,,3,Yes,Sub-investment grade securities or emerging markets,Diversified,"0,0","Portfolio Series - American Funds Managed Risk Global Allocation Portfolio <head_breaker>

American Funds Managed Risk Global Allocation Portfolio

Investment objective The fund’s investment objective is to provide high total return (including income and capital gains) consistent with preservation of capital over the long term while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Managed Risk Global Allocation Portfolio.txt'},
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Growth Portfolio,,1,Yes,Sub-investment grade securities or emerging markets,Diversified,"0,0","Portfolio Series - American Funds Managed Risk Growth Portfolio <head_breaker>

American Funds Managed Risk Growth Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Managed Risk Growth Portfolio.txt'},
0000051931-18-000465,Portfolio Series - American Funds Managed Risk Growth and Income Portfolio,,1,Yes,Sub-investment grade securities or emerging markets,Diversified,"3,0.9","Portfolio Series - American Funds Managed Risk Growth and Income Portfolio <head_breaker>

American Funds Managed Risk Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide long-term growth of capital and current income while seeking to manage volatility and provide downside protection.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class P1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.",{'source': 'NLP_app\\MutualFundSummary\\Portfolio Series - American Funds Managed Risk Growth and Income Portfolio.txt'},3.0
0000051931-18-000465,U.S. Government/AAA-Rated Securities Fund,,2,Yes,Investment grade securities,Diversified,"2,0.95","Principal investment strategies Normally, the fund invests at least 80% of its assets in debt securities (which may be represented by other investment instruments, including derivatives) that are guaranteed or sponsored by the U.S. government or that are otherwise rated Aaa or AAA by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser or unrated but determined to be of equivalent quality by the fund’s investment adviser. The fund is designed for investors seeking income, long-term capital preservation and more price stability than investments in stocks and lower quality debt securities.",{'source': 'NLP_app\\MutualFundSummary\\U.S. GovernmentAAA-Rated Securities Fund.txt'},2.0
0000051931-18-000465,Ultra-Short Bond Fund,,2,No,Investment grade securities,Diversified,"2,0.95","Ultra

Short Bond Fund

<head_breaker>

Ultra

Short Bond Fund

Investment objective The investment objective of the fund is to provide current income, consistent with the maturity and quality standards applicable to the fund, and preservation of capital and liquidity.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.32% Other expenses	0.03 Total annual fund operating expenses	0.35 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'NLP_app\\MutualFundSummary\\Ultra-Short Bond Fund.txt'},2.0
0000051931-18-000615,American Funds Conservative Growth and Income Portfolio,,3,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.9","American Funds Conservative Growth and Income Portfolio <head_breaker>

American Funds Conservative Growth and Income Portfolio

Investment objective The fund’s investment objective is to provide current income and, secondarily, long-term growth of capital.",{'source': 'NLP_app\\MutualFundSummary\\American Funds Conservative Growth and Income Portfolio.txt'},3.0
0000051931-18-000615,American Funds Moderate Growth and Income Portfolio,,3,No,Sub-investment grade securities or emerging markets,Diversified,"3,0.95","American Funds Moderate Growth and Income Portfolio <head_breaker>

American Funds Moderate Growth and Income Portfolio

Investment objectives The fund’s investment objectives are to provide current income and long-term growth of capital and income.",{'source': 'NLP_app\\MutualFundSummary\\American Funds Moderate Growth and Income Portfolio.txt'},3.0
